dataset,point,x,y,sigma
0,0,0.618871,-4.118603,0.477489
0,1,1.030725,-3.878710,0.329366
0,2,1.555765,-5.596643,0.413382
0,3,3.130771,-7.622866,0.337989
0,4,3.301156,-8.072922,0.450158
0,5,4.242043,-12.209671,1.283037
0,6,6.184097,-13.559400,0.816460
0,7,6.477063,-14.140350,0.328385
0,8,7.462779,-15.523510,0.372775
0,9,7.877357,-16.317849,0.924237
1,0,1.897354,2.118758,1.688516
1,1,2.191300,5.956567,2.319191
1,2,2.607055,3.493691,0.780948
1,3,2.975177,4.948192,0.650218
1,4,3.000170,6.103338,2.346480
1,5,8.027300,8.953431,1.416209
1,6,8.038902,8.367613,0.747760
1,7,8.342344,11.607345,2.202304
1,8,8.793488,10.106523,2.468147
1,9,9.270835,11.923344,2.186056
2,0,2.344004,-0.523922,0.485599
2,1,3.769697,-1.962504,1.488591
2,2,4.629782,0.599087,0.779879
2,3,4.735945,0.773680,0.393471
2,4,6.519416,0.951891,0.800257
2,5,7.484940,1.179979,1.270516
2,6,7.666198,2.635924,1.005824
2,7,9.143195,-0.038325,1.515002
2,8,9.346453,2.706068,0.985977
2,9,9.947188,2.192330,1.145905
3,0,1.008208,-0.802859,1.636916
3,1,1.519783,0.225232,1.656086
3,2,3.318512,0.244726,1.909703
3,3,3.515424,-0.105447,1.779331
3,4,3.724453,0.932626,1.717584
3,5,3.907210,-0.647986,1.538835
3,6,6.657453,-2.213152,0.793826
3,7,7.732382,-4.312250,2.003932
3,8,7.913582,-0.577541,0.582461
3,9,9.335775,-2.888265,1.902381
4,0,0.094912,3.650931,1.270158
4,1,0.254155,4.619200,0.837189
4,2,1.213907,2.190023,0.599815
4,3,1.272914,0.789618,1.170997
4,4,1.537319,2.396177,0.595158
4,5,3.398798,-0.859974,0.251193
4,6,4.419676,-1.573797,0.679486
4,7,4.825882,-3.557816,0.477102
4,8,8.918292,-9.263824,0.314707
4,9,9.824760,-11.225857,0.461284
5,0,1.237099,-2.568062,2.641264
5,1,5.535632,-1.673203,1.901717
5,2,5.864392,-6.043032,1.703463
5,3,7.282722,-6.815244,2.308516
5,4,7.412541,-4.205313,0.535100
5,5,7.895427,-4.534258,1.296959
5,6,8.714952,-2.233846,2.173707
5,7,9.484549,-5.612159,0.519874
5,8,9.765241,-6.112706,1.055056
5,9,9.958694,-4.872342,1.556949
6,0,0.547189,3.897431,1.000234
6,1,2.660387,3.406811,1.123646
6,2,2.920662,3.835381,1.597593
6,3,3.199628,7.372872,2.284548
6,4,5.217178,7.620566,2.236150
6,5,6.821426,10.218450,2.400884
6,6,7.508904,4.097453,2.090745
6,7,8.443448,8.715873,2.293254
6,8,8.868900,9.579484,1.894734
6,9,9.467061,10.232334,1.145482
7,0,1.937231,8.206348,1.211962
7,1,2.025580,6.516317,0.407024
7,2,2.096939,7.600328,0.665578
7,3,2.844208,7.425654,0.499647
7,4,3.441431,9.789556,0.458753
7,5,5.840550,12.210890,0.195052
7,6,6.011084,13.332992,1.134021
7,7,6.241487,12.839337,0.507790
7,8,7.185726,12.558260,0.943132
7,9,8.174066,13.817560,1.160388
8,0,1.271272,4.112598,1.761159
8,1,1.584645,4.318822,0.893127
8,2,3.590347,0.483486,2.435817
8,3,4.189410,4.527038,0.425867
8,4,4.798454,7.076835,1.328650
8,5,6.527059,4.882536,1.262394
8,6,7.031319,6.504931,1.647416
8,7,7.807965,5.175715,1.169423
8,8,8.258169,7.694005,1.415556
8,9,9.761607,7.036512,1.910000
9,0,0.566615,-2.117253,0.523400
9,1,1.005867,-1.232167,0.594976
9,2,3.330604,3.939147,2.012730
9,3,5.859769,11.031748,1.805013
9,4,6.161913,10.352449,0.959370
9,5,6.869865,11.601394,1.195533
9,6,7.057415,14.714424,1.935473
9,7,8.161174,15.117064,1.886497
9,8,8.807194,15.879715,1.858841
9,9,9.482538,16.322571,2.318655
10,0,0.439018,6.384154,2.315649
10,1,0.877370,2.886611,0.852233
10,2,1.851741,7.840010,2.666844
10,3,2.109595,5.587522,1.055139
10,4,3.080157,6.240625,1.794022
10,5,3.640550,2.935880,2.790105
10,6,4.491737,7.336973,1.106631
10,7,5.445678,5.843705,2.528927
10,8,5.920007,6.148623,2.808097
10,9,9.204057,9.239172,2.350281
11,0,0.645085,1.445905,0.414740
11,1,4.534698,4.050757,1.278783
11,2,5.232040,6.157700,0.581649
11,3,5.316499,5.650589,1.341910
11,4,6.456772,5.741365,0.782777
11,5,7.081098,7.660817,0.366236
11,6,7.840582,9.682496,1.407373
11,7,7.865770,7.362670,1.523312
11,8,8.071220,12.872211,2.329933
11,9,9.585907,7.759572,2.257192
12,0,1.549358,-5.069612,0.550537
12,1,3.443030,-5.983486,0.339265
12,2,4.514142,-6.301602,0.724303
12,3,5.570108,-6.798209,0.741715
12,4,5.748535,-6.741803,0.581288
12,5,6.991610,-7.853014,0.568553
12,6,7.311742,-8.505054,0.787837
12,7,7.682352,-9.216342,0.228172
12,8,9.601265,-10.525857,0.257689
12,9,9.908514,-11.303075,0.492984
13,0,0.285874,3.725725,1.391665
13,1,0.664484,2.624038,1.308300
13,2,0.798831,2.707313,1.012348
13,3,4.976509,0.283534,2.473078
13,4,5.338679,3.783165,2.654649
13,5,5.691374,4.424158,1.439269
13,6,5.837319,5.323403,1.562226
13,7,7.132636,6.897015,1.294200
13,8,7.804324,6.644253,0.701404
13,9,8.885188,10.788987,1.808190
14,0,0.056066,-3.398030,0.865882
14,1,0.492495,0.057809,2.703010
14,2,0.529853,-0.698100,2.724076
14,3,4.135681,-2.192151,0.893895
14,4,6.154342,-1.280353,1.459260
14,5,6.549305,-1.086951,1.899993
14,6,6.637798,0.202721,2.637968
14,7,6.908218,-4.095911,1.914131
14,8,7.814226,-1.091524,0.559418
14,9,9.748396,-0.365744,0.448264
15,0,0.341023,-6.465663,1.313464
15,1,1.204423,-3.986003,0.789963
15,2,1.585295,-3.263074,1.240999
15,3,1.594508,-3.726109,1.513429
15,4,1.977258,-2.681393,0.800534
15,5,2.612168,-2.497796,1.761513
15,6,3.041425,-1.368067,1.852954
15,7,7.079261,1.230013,1.212062
15,8,8.291501,2.550106,1.082878
15,9,8.430766,1.840171,0.409295
16,0,1.438802,7.384219,1.286412
16,1,3.732512,2.713567,1.061297
16,2,4.004604,4.754475,1.202987
16,3,4.033600,3.283005,0.578801
16,4,4.705896,2.689924,0.375187
16,5,4.910984,3.443058,1.649538
16,6,5.009378,1.514168,1.309644
16,7,6.090983,2.198562,1.220611
16,8,9.069938,0.168441,1.560365
16,9,9.169518,2.759035,0.632851
17,0,1.177608,4.587128,0.578591
17,1,4.671234,7.861699,0.707830
17,2,4.675651,6.390945,0.410311
17,3,5.065729,7.699576,0.510458
17,4,5.535596,7.956593,0.167979
17,5,5.543080,8.637420,0.378426
17,6,5.571089,8.661313,0.565178
17,7,5.607236,8.801089,0.702509
17,8,5.914595,8.515566,0.402509
17,9,6.861364,9.753432,0.471140
18,0,0.691648,2.062044,0.209529
18,1,2.963844,-0.289175,0.368725
18,2,3.141688,-0.664221,0.459019
18,3,3.476121,-0.868837,0.105012
18,4,5.732002,-3.389407,0.491078
18,5,5.852859,-3.280145,0.273457
18,6,6.335057,-4.193048,0.154522
18,7,6.671360,-4.396752,0.590864
18,8,8.846111,-6.847218,0.276112
18,9,9.355763,-6.490284,0.395041
19,0,0.196554,-2.818701,0.838694
19,1,0.219512,-4.218096,0.438951
19,2,0.847013,-2.837209,0.594622
19,3,1.226135,-5.938938,2.216890
19,4,1.804992,-0.633739,0.953169
19,5,2.860887,2.580937,2.212637
19,6,3.882031,0.578998,0.984914
19,7,4.679156,1.580855,1.398826
19,8,7.188981,5.787488,0.967173
19,9,9.499169,10.014654,2.242748
20,0,0.868523,2.097415,0.829520
20,1,2.195495,-1.943924,0.482255
20,2,2.979766,-3.978649,0.400349
20,3,3.036503,-3.750055,1.014927
20,4,4.144565,-4.507626,1.935524
20,5,4.653581,-5.062966,0.724610
20,6,4.896850,-6.291642,1.767068
20,7,8.438192,-12.085840,0.416538
20,8,9.034403,-12.604921,1.387359
20,9,9.268213,-13.249178,1.473297
21,0,2.838787,-8.564997,0.313413
21,1,2.856480,-9.834125,0.505986
21,2,4.063458,-11.819245,0.148745
21,3,4.151070,-11.768493,0.213420
21,4,4.383576,-11.706449,0.626256
21,5,4.684081,-11.623984,0.663856
21,6,6.343215,-14.983610,0.349627
21,7,8.039161,-18.473873,0.618959
21,8,8.235967,-18.826433,0.431424
21,9,8.734873,-20.263160,0.614235
22,0,0.362188,-3.021375,1.520715
22,1,0.388446,0.031496,2.307949
22,2,1.175485,-4.232960,1.946429
22,3,1.398745,0.275610,2.768756
22,4,3.026790,-5.736541,0.681026
22,5,3.519976,-6.938461,0.596453
22,6,4.638767,-12.812200,2.391949
22,7,6.526076,-12.505969,0.888169
22,8,9.692247,-19.373321,0.789532
22,9,9.775390,-17.184595,1.611653
23,0,0.146585,0.986300,0.787437
23,1,2.286260,1.194440,2.101673
23,2,2.582250,-3.351011,2.085916
23,3,2.768822,-0.610430,0.921415
23,4,4.699434,-1.092276,1.466937
23,5,4.767582,-1.677698,2.272292
23,6,6.844699,-0.333218,1.377148
23,7,7.748033,1.109586,1.043273
23,8,7.836959,1.329596,1.420104
23,9,8.992774,3.068926,2.172032
24,0,0.820745,-2.824809,1.565244
24,1,1.013319,-3.470327,0.920026
24,2,1.131697,-3.562409,1.324636
24,3,3.105833,-6.956953,1.504601
24,4,3.802800,-10.714132,0.898884
24,5,5.053169,-11.831155,1.412609
24,6,5.599743,-13.326810,0.924102
24,7,6.510861,-14.416739,0.323127
24,8,7.420290,-15.841173,0.616685
24,9,9.124544,-20.491133,1.883829
25,0,1.921493,2.464430,0.663935
25,1,3.837710,5.841769,1.389993
25,2,3.880914,4.065432,0.334957
25,3,4.201378,4.572101,1.396582
25,4,5.738551,6.050631,1.034989
25,5,7.000684,4.041477,1.490881
25,6,7.869405,7.389286,0.486197
25,7,8.205949,7.011920,0.873236
25,8,8.275131,6.808591,1.498396
25,9,9.624892,7.968035,0.406490
26,0,1.172567,-2.550575,1.827152
26,1,1.803153,-1.635378,2.026154
26,2,2.949482,-2.594887,2.810828
26,3,3.223416,-2.729462,2.047450
26,4,4.151924,-5.821077,2.541347
26,5,5.171472,-0.557561,1.974165
26,6,6.448565,0.248280,1.038331
26,7,7.080587,0.923344,0.960432
26,8,7.498222,3.292290,2.761061
26,9,9.713461,1.174790,2.005516
27,0,0.971650,0.900460,1.167009
27,1,1.103938,2.253781,1.558742
27,2,1.811139,0.930062,1.278052
27,3,1.904970,0.083289,1.705518
27,4,3.930750,-0.008408,1.379027
27,5,4.055254,-1.947529,1.095077
27,6,4.436974,-2.984929,0.817002
27,7,4.462930,-2.902702,0.709053
27,8,5.541124,-5.346720,0.705288
27,9,7.168454,-8.345230,0.496922
28,0,0.392795,-1.497493,0.709063
28,1,3.073834,0.242537,1.050042
28,2,4.004017,-0.626362,0.970011
28,3,4.735506,-0.959276,0.771142
28,4,5.424654,0.506489,1.047019
28,5,7.544200,-1.928019,0.941157
28,6,8.944870,0.482600,0.332820
28,7,9.163075,-1.141722,0.979886
28,8,9.292829,0.331782,0.331373
28,9,9.794822,-0.043083,0.549036
29,0,0.602734,-2.874493,1.225950
29,1,2.056806,1.760531,1.480525
29,2,2.242053,-0.671061,1.154894
29,3,2.285606,-3.471624,1.326329
29,4,3.268568,0.209392,0.453360
29,5,4.512985,0.220847,0.923616
29,6,5.493785,2.669340,1.468622
29,7,7.120074,4.697547,0.659096
29,8,8.384275,6.405911,0.464860
29,9,9.665149,6.539595,1.025914
30,0,0.209569,-2.305168,0.397051
30,1,0.311389,-3.073631,0.976834
30,2,2.382050,-3.712979,0.272447
30,3,2.651265,-3.963633,0.683493
30,4,3.673447,-4.824230,0.990041
30,5,3.805055,-4.823703,0.931779
30,6,4.990775,-5.603896,0.548254
30,7,6.730924,-7.313976,1.085414
30,8,6.806051,-8.732762,0.943192
30,9,7.175030,-7.083375,0.254871
31,0,1.073307,3.368655,0.407554
31,1,1.732055,2.579196,0.193871
31,2,2.152109,2.162159,0.161529
31,3,3.706705,0.435642,0.494018
31,4,5.746012,-2.591248,0.643626
31,5,6.143703,-2.061853,0.524988
31,6,6.430000,-3.211245,0.667193
31,7,8.565833,-4.646226,0.359008
31,8,8.611367,-5.468587,0.222629
31,9,9.751756,-6.060112,0.372039
32,0,1.987202,-5.989436,0.564533
32,1,3.457673,-7.169944,1.944666
32,2,3.803061,-8.309033,1.840765
32,3,4.359513,-11.760413,2.414713
32,4,4.717560,-10.997036,2.216031
32,5,6.634000,-15.474857,1.872320
32,6,6.991155,-16.573940,1.250467
32,7,7.305449,-21.014198,1.803533
32,8,7.400610,-19.068388,1.415061
32,9,9.445379,-22.038482,1.424520
33,0,0.691279,-3.239176,0.714577
33,1,1.988522,-2.277102,0.971712
33,2,2.197487,-2.420468,0.468380
33,3,4.657352,1.769133,0.858470
33,4,4.917158,1.002633,0.995777
33,5,5.816388,4.700849,1.496395
33,6,7.336424,3.038156,1.261742
33,7,8.849759,4.556450,1.301092
33,8,9.214566,7.557862,0.886200
33,9,9.414553,7.388513,0.823846
34,0,0.736984,-5.396094,0.528096
34,1,1.349496,-5.218941,1.859491
34,2,1.941493,-6.528817,1.820743
34,3,2.774172,-6.449849,0.709093
34,4,4.305514,-10.729096,1.446911
34,5,7.134670,-12.157609,1.599999
34,6,7.699495,-14.188295,0.599836
34,7,7.809420,-12.619653,1.490737
34,8,8.016490,-13.439493,1.844186
34,9,8.176466,-13.040128,1.257595
35,0,2.076614,3.329531,0.350466
35,1,2.709729,4.164875,0.539964
35,2,3.004123,5.122637,0.639576
35,3,4.431359,7.168082,0.744707
35,4,4.855822,7.775267,0.709894
35,5,5.770079,9.136266,0.443554
35,6,6.441891,9.129420,0.305707
35,7,8.271387,11.977768,0.252412
35,8,8.774788,12.496780,0.576774
35,9,9.568453,13.779617,0.188909
36,0,3.264381,11.886446,2.281167
36,1,3.452056,9.811844,2.422196
36,2,3.808888,6.331695,1.647328
36,3,4.534374,10.058650,0.778194
36,4,5.316272,7.110113,1.232704
36,5,8.141158,14.849573,2.146259
36,6,8.575810,12.453057,0.841470
36,7,9.005521,14.920984,0.719616
36,8,9.214428,15.524279,1.779458
36,9,9.845621,16.648164,0.878710
37,0,1.160685,2.424581,0.570684
37,1,1.685673,4.532824,1.163105
37,2,1.924473,2.562255,0.422891
37,3,6.412135,5.427301,0.594206
37,4,7.638206,5.409982,0.723072
37,5,8.233929,3.755439,1.521476
37,6,9.057449,6.084590,0.640932
37,7,9.536053,5.703099,1.812435
37,8,9.589857,6.631563,0.465421
37,9,9.933766,6.272918,1.334737
38,0,0.688310,-1.376648,0.335258
38,1,0.973088,-0.420555,0.227287
38,2,1.048875,-0.904526,0.487025
38,3,3.342928,1.638601,0.112518
38,4,5.445460,3.888080,0.492643
38,5,5.818455,3.634417,0.182978
38,6,6.502031,4.552071,0.360996
38,7,7.605480,5.530749,0.307560
38,8,8.363548,6.356587,0.276066
38,9,9.872388,7.648103,0.413806
39,0,0.129546,-1.373917,1.029762
39,1,0.871283,2.208171,0.858288
39,2,1.497218,2.282955,0.948053
39,3,2.714767,2.864893,1.097403
39,4,3.062269,3.869411,1.516281
39,5,5.577207,8.058257,0.681067
39,6,5.883942,7.525970,1.629977
39,7,6.656919,10.517378,1.278864
39,8,8.830646,11.738673,0.422109
39,9,9.516621,14.914119,1.907052
40,0,0.885078,-2.814386,0.721106
40,1,1.668688,-3.524775,1.853674
40,2,2.311867,-5.649104,1.472002
40,3,5.047229,-10.439409,1.546363
40,4,5.508614,-9.304653,1.322409
40,5,7.213643,-14.116221,0.535718
40,6,7.442794,-14.340804,1.263910
40,7,7.681415,-14.746499,1.097700
40,8,7.871734,-12.598481,2.151955
40,9,9.013628,-24.412667,2.495079
41,0,1.353166,-1.472136,1.646255
41,1,1.517939,0.056931,1.238399
41,2,1.677518,2.650756,1.578854
41,3,1.763966,-1.064105,1.169386
41,4,4.308166,4.023388,0.575531
41,5,4.398078,6.911594,1.406599
41,6,6.420836,4.125052,1.363077
41,7,6.475433,7.501731,0.983052
41,8,8.399890,9.639259,0.726556
41,9,9.986900,12.485118,0.744927
42,0,1.035271,-4.722653,0.646995
42,1,2.826602,-8.751438,1.050105
42,2,3.657374,-9.457889,0.215602
42,3,5.463770,-13.295353,1.016283
42,4,6.650006,-14.729486,1.197903
42,5,7.485137,-17.930738,1.223906
42,6,8.425229,-16.444119,0.584137
42,7,9.374741,-20.165552,0.449329
42,8,9.641605,-18.385856,1.097822
42,9,9.734983,-21.392952,1.072003
43,0,2.429298,-4.684141,2.392188
43,1,2.940285,-4.316459,1.245930
43,2,3.729683,-6.631541,0.440335
43,3,4.136524,-7.552944,0.878860
43,4,4.278205,-8.466153,1.556521
43,5,5.961584,-10.260371,1.166404
43,6,6.006402,-14.809679,1.558271
43,7,6.125473,-10.956558,1.783799
43,8,6.451136,-11.205152,0.691999
43,9,8.691948,-16.988888,0.924101
44,0,2.410171,-0.673313,0.931681
44,1,2.567152,-1.609991,1.154415
44,2,3.129183,1.658137,1.234651
44,3,3.252584,0.446918,1.529045
44,4,5.304084,0.521243,0.932052
44,5,6.406631,2.401049,0.847538
44,6,7.318625,2.312506,1.133023
44,7,9.017416,2.308811,0.834370
44,8,9.040575,3.823836,1.520988
44,9,9.492495,2.847953,1.348426
45,0,0.034358,0.435673,2.459347
45,1,0.175294,3.689601,1.336284
45,2,0.857767,4.250148,2.713913
45,3,1.643327,3.909593,1.813928
45,4,4.837993,0.567583,2.588576
45,5,7.592314,3.178588,1.284818
45,6,8.070298,3.441563,1.344553
45,7,8.269921,6.765342,1.113024
45,8,8.779171,5.850720,2.024406
45,9,8.943269,4.795089,0.621334
46,0,0.479032,1.693627,0.395528
46,1,1.285528,0.903419,0.174435
46,2,3.285812,0.033136,0.422928
46,3,5.532314,-0.122382,0.235384
46,4,6.256970,-0.871203,0.503878
46,5,6.715178,-0.750986,0.239716
46,6,6.844891,-0.288515,0.659994
46,7,8.448552,-0.881068,0.550313
46,8,9.213122,-1.811417,0.598633
46,9,9.709565,-1.939064,0.424425
47,0,0.646203,-2.289037,0.442448
47,1,1.089213,-2.979569,0.289150
47,2,1.864514,-2.936805,1.363882
47,3,6.383417,1.675940,0.499360
47,4,6.441297,2.601061,0.789387
47,5,6.839192,2.470652,0.718357
47,6,7.324130,2.527404,0.268203
