dataset,point,x,y,sigma
0,0,0.149525,5.734863,1.492809
0,1,0.452905,4.688422,2.093593
0,2,0.618530,4.203782,0.467592
0,3,2.813079,7.791574,1.338941
0,4,4.736526,12.236491,0.721772
0,5,5.744663,12.972170,1.083015
0,6,6.081335,13.380971,0.506483
0,7,6.201888,16.667836,1.681272
0,8,6.300014,14.571869,2.399815
0,9,9.630771,21.181491,2.285037
1,0,1.805006,1.236672,0.405449
1,1,2.863105,-0.227113,0.562238
1,2,3.241688,0.403737,0.701227
1,3,3.339945,0.311697,0.649778
1,4,3.772492,-1.370111,0.496323
1,5,5.326518,-3.268992,0.618393
1,6,6.328319,-4.003230,0.232053
1,7,7.657179,-5.900492,0.653662
1,8,8.024639,-6.646353,0.272729
1,9,8.569210,-7.214006,0.384350
2,0,2.035885,1.993499,1.504073
2,1,3.794239,3.195890,1.155325
2,2,3.853463,4.014151,0.631411
2,3,4.170623,3.851382,1.757796
2,4,6.666311,4.831821,1.404442
2,5,7.645466,1.891381,1.017809
2,6,8.413591,1.324239,0.969961
2,7,8.660474,3.806274,1.329962
2,8,9.507790,4.353833,0.800272
2,9,9.697548,3.152474,1.311589
3,0,1.035635,-4.260054,0.758389
3,1,1.975304,-4.620459,1.092469
3,2,2.916705,-7.683790,1.460764
3,3,3.862174,-9.277729,0.598442
3,4,4.801981,-12.066602,1.209546
3,5,6.377429,-13.885599,0.714036
3,6,7.177885,-12.833043,1.628662
3,7,7.209035,-15.285921,1.212997
3,8,7.736210,-13.509098,1.145122
3,9,9.232406,-19.412627,1.195123
4,0,2.696270,-5.561492,1.121373
4,1,2.742956,-4.220902,1.374269
4,2,3.386480,-4.921250,0.775157
4,3,3.508208,-4.571100,1.039684
4,4,3.680329,-5.704968,0.433804
4,5,6.468889,-8.157887,0.954663
4,6,6.948640,-6.990070,0.847002
4,7,7.381986,-8.762007,0.653117
4,8,8.427417,-9.356143,0.581376
4,9,9.474077,-10.889597,0.426333
5,0,1.354641,3.788780,0.536460
5,1,1.979305,4.579822,2.089374
5,2,2.071916,2.121795,1.746442
5,3,2.370239,2.567931,1.397664
5,4,3.207207,3.633467,0.535051
5,5,3.997807,2.744270,1.206652
5,6,5.488653,3.933541,0.615008
5,7,5.633907,7.787405,2.156176
5,8,6.207986,3.164897,1.106091
5,9,6.982018,2.975871,1.554485
6,0,3.351170,-9.574836,1.844089
6,1,4.630573,-6.524220,1.569662
6,2,5.063919,-9.150323,1.685386
6,3,5.201964,-10.295223,0.435839
6,4,5.780460,-11.837236,1.048388
6,5,6.120206,-12.957255,1.521954
6,6,7.023576,-12.324655,0.451887
6,7,7.913778,-14.407961,1.247813
6,8,8.522891,-14.654733,1.308441
6,9,8.744647,-14.678848,0.796838
7,0,0.085417,-2.949832,1.262881
7,1,0.877964,-2.551713,0.449249
7,2,2.120820,-4.690339,1.167930
7,3,2.476697,-5.584745,1.384731
7,4,2.889177,-4.846786,0.316496
7,5,5.440285,-6.751485,1.105988
7,6,5.890605,-5.625673,1.347648
7,7,7.168543,-7.316076,0.914824
7,8,9.065224,-9.296541,0.717212
7,9,9.146480,-9.616721,0.499646
8,0,3.866106,-5.788251,0.469277
8,1,4.338678,-5.168119,0.339014
8,2,4.342760,-5.186089,1.112735
8,3,4.674003,-5.879144,0.218277
8,4,4.852749,-6.422339,0.221601
8,5,5.590290,-7.241952,0.278794
8,6,5.678863,-7.245494,0.561996
8,7,6.828495,-8.254238,0.669220
8,8,7.477678,-10.321579,0.470067
8,9,8.494458,-12.001418,0.897599
9,0,1.992032,4.724689,0.291319
9,1,2.786038,7.173453,1.113148
9,2,4.005944,8.064745,0.799383
9,3,4.655045,10.641649,0.494814
9,4,4.871138,9.986838,0.883332
9,5,5.455291,12.780316,1.003613
9,6,6.100151,13.901584,1.355672
9,7,7.044160,15.028908,1.177997
9,8,8.973501,18.810104,0.637206
9,9,9.444677,17.891877,1.176820
10,0,2.236690,-3.609211,0.558940
10,1,2.556144,-2.728333,0.282178
