set,dataset,a,b,c,sigma0
1,0,-3.210652,0.559653,0.000000,0.860722
1,1,-4.871595,-0.209192,0.000000,0.738217
1,2,0.800285,-1.244375,0.000000,1.177489
1,3,-0.834290,1.096849,0.000000,1.450157
1,4,0.460602,1.669053,0.000000,0.579916
1,5,0.160826,0.638278,0.000000,1.357423
1,6,-3.983142,-0.587806,0.000000,1.456182
1,7,-4.569093,1.861477,0.000000,0.336558
1,8,1.629613,-0.713938,0.000000,0.493763
1,9,-2.373167,-0.334861,0.000000,0.325134
1,10,1.788298,-0.537060,0.000000,0.822282
1,11,4.868403,0.023177,0.000000,0.827688
1,12,1.974639,1.552128,0.000000,1.355601
1,13,-1.081670,-0.163993,0.000000,0.360551
1,14,-1.900362,1.527084,0.000000,0.778463
1,15,-0.877479,-1.903955,0.000000,1.092447
1,16,3.918218,-0.561816,0.000000,0.583549
1,17,1.052686,-1.127976,0.000000,0.604755
1,18,1.132567,1.210635,0.000000,0.648727
1,19,-3.054231,1.020053,0.000000,0.563410
1,20,-4.956998,-0.418593,0.000000,0.784594
1,21,0.310825,1.030146,0.000000,1.138314
1,22,0.439147,1.951025,0.000000,0.894869
1,23,2.245878,0.380723,0.000000,0.993945
1,24,-1.442477,-1.060042,0.000000,1.198630
1,25,0.889659,-1.485193,0.000000,1.334983
1,26,0.984557,0.537917,0.000000,1.388557
1,27,0.838584,1.511241,0.000000,1.029950
1,28,4.081095,-1.088723,0.000000,1.404753
1,29,-0.056470,1.096478,0.000000,1.006655
1,30,-1.005066,0.311521,0.000000,0.921308
1,31,0.269556,0.091330,0.000000,1.067944
1,32,3.533619,-1.076042,0.000000,0.388440
1,33,0.633356,0.954338,0.000000,0.973456
1,34,2.763883,0.780731,0.000000,1.241778
1,35,2.572403,-1.796724,0.000000,1.008200
1,36,-0.177991,-0.438354,0.000000,1.300101
1,37,0.572079,1.123943,0.000000,1.039649
1,38,-1.190225,1.432452,0.000000,1.197131
1,39,-2.990002,-1.374855,0.000000,1.330387
1,40,-0.944362,-0.585062,0.000000,1.073251
1,41,-0.457949,-1.838517,0.000000,0.357768
1,42,-2.429171,1.195325,0.000000,0.463326
1,43,-3.445344,1.297425,0.000000,0.311008
1,44,-2.309299,0.417903,0.000000,0.365993
1,45,0.866398,-0.721422,0.000000,0.723840
1,46,-1.302064,-1.963628,0.000000,0.541032
1,47,-4.449579,0.150920,0.000000,1.219824
1,48,4.219876,-1.179514,0.000000,0.580407
1,49,1.990967,-0.152314,0.000000,0.777011
1,50,-4.017970,0.416062,0.000000,0.934790
1,51,-4.186299,-1.440159,0.000000,1.252936
1,52,-4.057549,-0.848558,0.000000,1.362721
1,53,0.859430,1.083154,0.000000,1.276767
1,54,-2.263325,-0.331810,0.000000,0.434261
1,55,-0.103368,0.841038,0.000000,0.610415
1,56,4.302266,-0.749044,0.000000,1.338573
1,57,3.265149,1.753402,0.000000,1.076519
1,58,-2.448304,1.134717,0.000000,0.735253
1,59,2.293755,-0.854877,0.000000,0.326388
1,60,1.721105,1.301921,0.000000,1.175561
1,61,3.732795,0.028662,0.000000,1.457730
1,62,4.800521,0.234375,0.000000,1.419909
1,63,-2.255195,0.355383,0.000000,0.768284
1,64,3.468549,1.241146,0.000000,0.327574
1,65,-2.756280,-0.838225,0.000000,0.721384
1,66,1.274793,-1.897337,0.000000,0.672209
1,67,2.027988,-1.284774,0.000000,1.058823
1,68,-1.822164,1.306232,0.000000,0.934630
